Stav,Změna,Pavilon,Místnost,"IČ",Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD",Datum pořízení,
,,3,27,S,5087,CHROMEBO,CB713-1W-32CZ,,,,,
,,3,27,S,4639,KAMERA,CANON LEGRIA HFR77,,,,,
,,3,27,S,--,KAMERA,Sony DSC-RX 100,,,,,
,,3,27,S,4817,NTB,ACER,,,,,
,,3,27,S,5916,NTB,Acer TravelMate,Vero N20C5,,,,
,,3,27,S,5918,NTB,Acer TravelMate,Vero N20C5,,,,
,,3,27,S,5919,NTB,Acer TravelMate,Vero N20C5,,,,
,,3,27,S,5920,NTB,Acer TravelMate,Vero N20C5,,,,
,,3,27,s,--,REPRO,GENIUS,,,,,
,,3,29,S,5310,CHROMEBO,,,,,,
,,3,29,S,5118,NTB,Acer Swift 3,SWIFT 3,,,,
,,3,29,S,4774,NTB,HP,PROBO 450 G5,,,,
,,3,29,Š,4648,PC,DELL Optiplex 790,,,,,
,,3,02,,INDOS,HP LASERJET 2200dn,,,,,,
,,3,32,S,4973,PC,PC Acer Veriton ES2735G,,,,,
,,3,02,S,4970,MONITOR,ACER,K222HQL,,,,
,,3,02,S,4336,NTB,FUJITSU LIFEBO A544,,,,,
,,3,02,S,4968,PC,ACER,Veriton,,,,
,,3,02,S,5083,REPRO,,,,,,
,,3,03,S,4969,MONITOR,ACER,KA220HQ,,,,
,,3,03,S,4844,PC,ACER,VERITON,,,,
,,3,03,S,3676,PROJEKTOR,EPSON,EB-W10,,,,
,,3,04,S,2811,MONITOR,ACER AL1917,4/3,,,,
,,3,04,S,5114,NOTEBO,ACER,SWIFT 3,,,,
,,P,21,S,4775,PC,HP COMPAQ 8200 ELITE,,,,,
,,3,05,S,5186,KAMERA,POWERTON,,,,,
,,3,05,S,3069,MONITOR,ASUS,,,,,
,,3,05,S,4624,PC,HP 280 G2 SFF,,,,,
,,3,05,S,3529,PROJEKTOR,ACER,CERNY,,,,
,,3,05,S,4600,REPRO,GENIUS sp hf-1800A,,,,,
,,3,06,S,4582,MONITOR,AOC,E2270SWDN,,,,
,UP,3,06,UP,4781,PC,HP ELITEDESK 800 G1 SFF,,,,,
,,3,06,S,4352,PROJEKTOR,NEC,M311X,,,,
,,3,07,S,5112,CHROMEBO,,,,,,
,?,3,07,S,4254,MONITOR,PHILIPS BRILIANCE 229C,,,,,
,,3,07,S,4858,NTB,Acer Extensa 15,EX2540-39CZ,,,,
,,3,07,S,4855,PC,ACER,Veriton,,,,
,,3,07,S,3677,REPRO,REDSTAR,,,,,
,,3,20,S,4482,MONITOR,ASUS VS228,,,,,
,,3,20,S,4484,PC,LENOVO I3,,,,,
,,3,20,S,3128,REPRO,TRUST,,,,,
,,3,20,S,5036,TISKARNA,EPSON,WF/6590,,,,
,,3,21,S,4787,NOTEBO,ACER,N16C1,,,,
,,3,21,S,5105,TISKARNA,SHARP MX-M266Nv,,,,,
,,3,22,UP,4580,MONITOR,AOC,E2270SWDN,,,,
,,3,25,UP,4730/2,PC,HP COMPAQ 8200 ELITE,,,,,
,,3,22,UP,4777,PROJEKTOR,VIEWSONIC,,,,,
,,3,22,S,4814,REPRO,GENIUS SP HF-1800A,,,,,
,,3,23,S,4675,DRZAK,CONSOLE K PROJEKTORU,,,,,
,,3,23,UP,2877,MONITOR,BENQ,,,,,
,,3,23,UP,4627,PC,DELL OPTIPLEX 790,Dell,,,,
